de,831089,NA
et,368454,NA
vin,316599,food
en,200762,NA
fabr,135760,craftsmanship
la,110675,NA
pour,85476,NA
à,75542,NA
du,67090,NA
épici,58842,food
gros,58586,NA
peintr,57562,craftsmanship
fab,54461,craftsmanship
au,46755,NA
cour,43677,NA
sur,43614,NA
chaussur,40972,service
bouch,40684,food
artist,37751,art
hôtel,37626,NA
avocat,36659,law
a,36580,NA
architect,35259,art
médecin,34277,health
tailleur,33989,service
coiffeur,32920,service
bois,31502,craftsmanship
restaur,31298,craftsmanship
propriétair,30451,NA
meubl,27665,craftsmanship
bijouti,27572,service
r,27431,NA
mod,25870,NA
professeur,24745,teaching
mercer,23839,service
caf,23597,NA
directeur,23594,NA
boutang,22350,food
renti,22083,NA
chef,22023,NA
le,21270,NA
tabac,21205,service
serruri,20824,service
commerc,20629,NA
ingénieur,20573,service
graveur,19530,craftsmanship
ancien,19415,NA
traiteur,18970,food
agent,18892,NA
linger,18526,service
ében,18508,craftsmanship
limonadi,18422,food
boulang,18190,food
abr,17851,NA
librair,17669,teaching
pharmacien,17434,health
or,17228,NA
charbon,17081,craftsmanship
medecin,16819,health
charcuti,16776,food
maison,16718,NA
papi,16301,NA
menuisi,16097,craftsmanship
charbonni,16013,craftsmanship
sag,15877,NA
métal,15694,craftsmanship
voitur,15659,service
fer,14798,craftsmanship
commissionnair,14716,law
horlog,14420,service
dessin,13671,art
représent,13657,law
bureau,13592,NA
bronz,13296,craftsmanship
conseil,13265,law
teinturi,13249,service
fleur,13095,art
sculpteur,13094,art
confect,12982,craftsmanship
imprimeur,12789,teaching
epici,12763,food
tapissi,12638,craftsmanship
fin,12517,NA
d'appel,12428,NA
st,12384,NA
doreur,12285,art
beurr,12281,food
femm,12252,NA
mécanicien,12207,craftsmanship
nouveaut,12059,NA
march,12048,NA
commiss,11967,law
societ,11955,NA
dentist,11812,health
général,11732,NA
d,11339,NA
rob,10967,NA
liqueur,10875,food
ta,10835,NA
tourneur,10823,craftsmanship
commission,10724,law
papeti,10676,service
propriet,10674,NA
ct,10665,NA
couturi,10605,service
banqui,10552,law
paris,10474,NA
negt,10358,NA
herbor,10320,health
epict,10315,NA
déput,10250,law
dam,10050,NA
cordonni,9938,service
papeter,9712,service
corset,9550,service
cuir,9505,NA
photograph,9431,service
dor,9429,NA
articl,9399,NA
musiqu,9354,art
peintur,9327,art
botti,9136,service
vitri,9024,craftsmanship
broder,8839,service
inspecteur,8808,law
chapeau,8685,service
épicer,8581,food
vern,8581,NA
cartonnag,8531,service
art,8527,art
couleur,8282,NA
franc,8243,NA
e,8100,NA
uin,8067,NA
c,7963,NA
homm,7947,NA
hortog,7937,NA
fruiti,7830,food
statuair,7749,law
lettr,7725,NA
comestibl,7723,NA
paraplui,7713,service
minister,7563,law
/,7523,NA
anc,7416,NA
instanc,7285,NA
bot,7254,NA
civil,7253,NA
fleurist,7250,service
ci,7230,NA
produit,7213,NA
bouton,7178,NA
ingenieur,7152,craftsmanship
entrepreneur,7119,NA
fabriqu,7101,craftsmanship
plum,7023,NA
crémi,7012,food
épict,6909,NA
courti,6900,law
grand,6880,NA
“,6851,NA
grain,6815,food
chemin,6757,NA
aux,6717,NA
plombi,6685,service
dentel,6647,health
pianos,6580,art
sous,6480,NA
bonneter,6465,service
re,6425,NA
maçon,6400,craftsmanship
gaz,6388,NA
marbri,6360,art
avou,6341,NA
marchand,6330,NA
menuist,6319,craftsmanship
expert,6315,law
fournitur,6271,service
passementer,6241,NA
represent,6202,NA
eau,6168,food
s,6139,NA
public,6099,NA
cristal,6064,art
négoci,6059,NA
min,6042,NA
entrepr,6027,NA
porcelain,6021,art
institu,6005,teaching
liquor,5990,food
peint,5967,art
d'etat,5958,NA
manufactur,5941,craftsmanship
fumist,5930,craftsmanship
notair,5903,law
directric,5881,law
cuivr,5826,craftsmanship
blanchisser,5803,service
